Song,Artist,track_id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,dataset,kmeans,dbscan
Teenage Dream (feat. Darren Criss),Glee Cast;Darren Criss,0tv7AfxhAdba4daHMbaZLw,0.76,0.543,3,-5.759,1,0.0415,0.494,0.0,0.0802,0.84,120.003,Not Hot,2,0
Clap,Armin van Buuren,5dSc5BbU8wbGY0dHVpf4Ys,0.645,0.97,9,-3.417,1,0.134,0.00804,0.562,0.411,0.123,130.244,Not Hot,5,0
Los Viejos Vinagres,Sumo,1hRa373L1NxacnE6HdEVSF,0.767,0.72,6,-8.412,0,0.112,0.00917,3.02e-05,0.0991,0.828,124.625,Not Hot,3,0
Ley Seca,Jhayco;Anuel AA,4pJUzyPGGBdV2yKlqYLNTN,0.759,0.843,8,-3.718,1,0.0913,0.127,0.0,0.114,0.56,105.016,Not Hot,2,0
Sana Mani Yar,Rashid Beibutov,1q3ISxk58qc43VxRSVikeV,0.493,0.509,9,-8.698,0,0.0517,0.937,0.00438,0.461,0.6,135.422,Not Hot,6,0
We Know The Way - Finale,Lin-Manuel Miranda;Opetaia Foa'i,7qqnbgkCwchM2CZnATg4nX,0.495,0.839,9,-8.744,1,0.0529,0.551,7.08e-06,0.0862,0.122,101.08,Not Hot,6,0
It's Not Cricket,Squeeze,7dsc0u18GBSOlvB25fSChP,0.63,0.658,2,-11.523,1,0.0308,0.401,0.0,0.183,0.934,133.639,Not Hot,2,0
Psikoz,Şam,6WLkV7mY1onlkxDrE8ujvO,0.884,0.463,7,-7.913,1,0.594,0.29,0.0,0.11,0.349,130.141,Not Hot,1,0
魔弾 〜Der Freischutz〜,T.M.Revolution,2NWnY6uTdoJsu2tk5Y8yTj,0.598,0.994,11,-2.426,0,0.158,0.0264,2.06e-06,0.27,0.644,143.975,Not Hot,3,0
Survivor / I Will Survive,Glee Cast,6m2qba8pt0oa13nBLA2Nt2,0.563,0.913,9,-4.384,0,0.225,0.00773,0.0,0.127,0.311,128.083,Not Hot,3,0
Housetime! - 3 Steps Ahead Remix,The Prophet;3 Steps Ahead,2kXqT66AyeHpXXbEVimolb,0.718,0.972,11,-3.401,0,0.123,0.437,0.0163,0.463,0.218,99.988,Not Hot,3,0
